,id,nome,cabelo,olhos,altura,peso
0,9,Sr. João Guilherme Câmara,castanho,,2.1376908,81.15214
1,11,Sr. Dante Vasconcelos,castanho,,2.1376908,81.15214
2,14,Igor Mendes,castanho,,2.1376908,81.15214
3,17,Maria Fernanda Campos,,,2.179369,0.0
4,21,Mathias Santos,,azul,2.1376908,0.0
5,22,Dr. Henry das Neves,castanho,,2.1376908,0.0
6,24,Kevin Ferreira,,,2.1376908,81.15214
7,30,Maria Júlia Macedo,,,2.179369,0.0
8,31,Daniel Costa,,azul,2.1376908,0.0
9,33,Pietro Peixoto,,,2.1376908,81.15214
10,34,Renan Pinto,,,2.1376908,81.15214
11,35,Vicente Rodrigues,,azul,2.1376908,0.0
12,38,Marcelo Fonseca,,azul,2.1376908,81.15214
13,40,Felipe Araújo,,azul,2.1376908,0.0
14,45,Manuella Sampaio,,castanho,2.179369,0.0
15,46,Srta. Ísis da Cunha,loiro,,2.179369,0.0
16,53,Ana Lívia da Cruz,,,2.179369,0.0
17,55,Luiz Felipe Nogueira,,,2.1376908,81.15214
18,60,Ryan Caldeira,,,2.1376908,81.15214
19,71,Enzo Gabriel Pastor,,,2.1376908,0.0
20,74,Marina Monteiro,,,2.179369,0.0
21,76,Benjamin Cirino,,azul,2.1376908,81.15214
22,78,Murilo Castro,,azul,2.1376908,81.15214
23,79,Sr. Rhavi Aparecida,,azul,2.1376908,0.0
24,80,Rodrigo Pereira,,azul,2.1376908,81.15214
